"sim","m0","m1","m2","m3","m4","m5","m6","model","alg","temp"
1,30653,127,2,46,1200,0,0,"M1","ada","1"
2,41705,0,0,0,1262,42,0,"M1","ada","1"
3,38079,0,0,0,1242,0,8,"M1","ada","1"
4,40206,154,42,0,1200,0,0,"M1","ada","1"
5,35170,0,0,0,1203,44,32,"M1","ada","1"
6,35710,600,0,0,1265,23,21,"M1","ada","1"
7,33553,300,0,0,1367,0,0,"M1","ada","1"
8,32827,1500,0,0,1236,62,0,"M1","ada","1"
9,33444,900,0,0,1266,0,44,"M1","ada","1"
10,32437,600,0,0,1236,85,0,"M1","ada","1"
11,32584,0,0,0,1250,44,44,"M1","ada","1"
12,31396,448,0,50,1200,0,0,"M1","ada","1"
13,31584,0,0,0,1294,0,48,"M1","ada","1"
14,33239,300,0,0,1278,67,9,"M1","ada","1"
15,31420,300,0,0,1220,122,26,"M1","ada","1"
16,32327,19,0,132,1200,0,0,"M1","ada","1"
17,31709,300,0,0,1316,59,0,"M1","ada","1"
18,31728,300,166,0,1200,0,0,"M1","ada","1"
19,31922,516,0,16,1200,0,0,"M1","ada","1"
20,31939,300,0,0,1339,6,41,"M1","ada","1"
21,27547,0,0,0,1509,121,0,"M1","ada","1"
22,44295,0,0,0,1652,0,0,"M1","ada","1"
23,31087,0,0,0,1643,0,28,"M1","ada","1"
24,30514,35,9,13,1500,0,0,"M1","ada","1"
25,29142,0,0,0,1572,0,157,"M1","ada","1"
26,31331,0,0,0,1644,53,8,"M1","ada","1"
27,31009,0,0,0,1517,34,50,"M1","ada","1"
28,29605,0,0,0,1552,9,131,"M1","ada","1"
29,29520,0,0,0,1589,4,14,"M1","ada","1"
30,30427,0,0,0,1500,187,0,"M1","ada","1"
31,31214,0,0,0,1528,64,13,"M1","ada","1"
32,28967,0,0,0,1669,21,11,"M1","ada","1"
33,29574,43,0,0,1500,0,0,"M1","ada","1"
34,28962,0,0,0,1500,112,0,"M1","ada","1"
35,29306,0,0,0,1613,0,1,"M1","ada","1"
36,31939,104,0,15,1500,0,0,"M1","ada","1"
37,28676,129,0,137,1500,0,0,"M1","ada","1"
38,30148,0,0,0,1609,12,0,"M1","ada","1"
39,30911,175,52,0,1500,0,0,"M1","ada","1"
40,32053,0,0,0,1562,30,34,"M1","ada","1"
41,32866,0,0,0,1069,300,0,"M1","ada","1"
42,50365,96,108,0,900,300,0,"M1","ada","1"
43,46399,0,0,0,1025,359,0,"M1","ada","1"
44,47345,0,0,0,900,300,140,"M1","ada","1"
45,44650,219,13,0,900,300,0,"M1","ada","1"
46,46927,0,0,0,926,300,67,"M1","ada","1"
47,43844,1,8,29,900,300,0,"M1","ada","1"
48,50918,196,0,0,900,300,0,"M1","ada","1"
49,42886,0,0,0,1010,300,122,"M1","ada","1"
50,47032,0,0,0,963,305,38,"M1","ada","1"
51,43431,0,0,0,1088,300,1,"M1","ada","1"
52,44132,0,0,0,1021,300,55,"M1","ada","1"
53,48889,150,0,43,900,300,0,"M1","ada","1"
54,47557,0,0,0,1045,300,0,"M1","ada","1"
55,42604,250,0,0,900,300,0,"M1","ada","1"
56,50458,0,0,0,951,471,0,"M1","ada","1"
57,47744,252,0,0,900,300,0,"M1","ada","1"
58,47399,260,0,0,900,300,0,"M1","ada","1"
59,46696,191,0,13,900,300,0,"M1","ada","1"
60,43427,0,0,0,977,338,129,"M1","ada","1"
61,33327,0,212,0,1800,0,0,"M1","ada","1"
62,35588,0,0,0,1903,54,0,"M1","ada","1"
63,34796,0,0,0,1864,4,54,"M1","ada","1"
64,35008,0,0,0,1828,15,99,"M1","ada","1"
65,34203,0,0,0,1832,68,59,"M1","ada","1"
66,34812,56,164,0,1800,0,0,"M1","ada","1"
67,35159,0,0,0,1932,57,0,"M1","ada","1"
68,35473,0,0,0,1896,0,7,"M1","ada","1"
69,34161,27,2,0,1800,0,0,"M1","ada","1"
70,35367,0,0,0,1822,84,23,"M1","ada","1"
71,34445,0,300,0,1808,3,170,"M1","ada","1"
72,34431,0,300,0,1927,0,0,"M1","ada","1"
73,34195,0,366,0,1800,0,0,"M1","ada","1"
74,34365,0,300,0,1871,60,0,"M1","ada","1"
75,34489,0,300,0,1998,1,0,"M1","ada","1"
76,33942,247,13,13,1800,0,0,"M1","ada","1"
77,34473,0,0,0,1912,106,10,"M1","ada","1"
78,35117,0,300,0,1882,0,53,"M1","ada","1"
79,34691,0,0,0,1947,30,12,"M1","ada","1"
80,35950,0,0,0,1817,85,1,"M1","ada","1"
81,28920,146,113,0,1800,0,0,"M1","ada","1"
82,45368,37,56,44,1800,0,0,"M1","ada","1"
83,53379,89,21,1,1800,0,0,"M1","ada","1"
84,45193,0,0,0,1853,10,86,"M1","ada","1"
85,44106,0,0,0,1917,35,0,"M1","ada","1"
