"method","t_ladder","sim","iterations","m0","m4","m5","m6","m1","m2","m3"
0,"0",1,-1,25002,22603,204,2191,0,0,0
0,"0",1,2,50002,45377,359,4262,0,0,0
0,"0",2,-1,25005,24024,428,543,0,0,0
0,"0",2,2,50004,44399,3921,1676,0,0,0
0,"0",3,-1,25001,21114,460,3425,0,0,0
0,"0",3,2,50004,45315,522,4159,0,0,0
0,"0",4,-1,25003,13147,507,11343,0,0,0
0,"0",4,2,50005,25706,838,23451,0,0,0
0,"0",5,-1,25002,22399,178,2421,0,0,0
0,"0",5,2,50005,44830,234,4931,0,0,0
0,"0",6,-1,25004,21213,84,3699,0,0,0
0,"0",6,2,50004,42039,215,7742,0,0,0
0,"0",7,-1,25002,21103,2605,1290,0,0,0
0,"0",7,2,50004,42156,5600,2240,0,0,0
0,"0",8,-1,25002,2842,22154,2,0,0,0
0,"0",8,2,50005,7186,42806,3,0,0,0
0,"0",9,-1,25001,22690,912,1397,0,0,0
0,"0",9,2,50002,45840,2431,1727,0,0,0
0,"0",10,-1,25003,21837,475,2685,0,0,0
0,"0",10,2,50003,40595,650,8752,0,0,0
0,"0",11,-1,25006,0,0,0,24009,544,441
0,"0",11,2,50002,44530,5221,247,0,0,0
0,"0",12,-1,25004,20819,1184,2993,0,0,0
0,"0",12,2,50009,43612,1205,5174,0,0,0
0,"0",13,-1,25009,23430,14,1547,0,0,0
0,"0",13,2,50011,45629,82,4278,0,0,0
0,"0",14,-1,25001,23347,979,673,0,0,0
0,"0",14,2,50003,45705,2924,1368,0,0,0
0,"0",15,-1,25004,17153,6405,1438,0,0,0
0,"0",15,2,50005,32765,14626,2604,0,0,0
0,"0",16,-1,25003,17256,7737,4,0,0,0
0,"0",16,2,50005,34466,15517,12,0,0,0
0,"0",17,-1,25004,17633,6623,740,0,0,0
0,"0",17,2,50002,37306,11764,928,0,0,0
0,"0",18,-1,25007,3767,21226,0,0,0,0
0,"0",18,2,50012,8364,41622,2,0,0,0
0,"0",19,-1,25002,21992,289,2717,0,0,0
0,"0",19,2,50006,43911,651,5432,0,0,0
0,"0",20,-1,25004,23589,42,1365,0,0,0
0,"0",20,2,50006,48130,83,1781,0,0,0
0,"0",21,-1,25003,3491,21491,15,0,0,0
0,"0",21,2,50004,7226,42752,18,0,0,0
0,"0",22,-1,25003,24596,390,11,0,0,0
0,"0",22,2,50003,48730,1146,121,0,0,0
0,"0",23,-1,25003,17029,10,7958,0,0,0
0,"0",23,2,50002,35056,14,14928,0,0,0
0,"0",24,-1,25004,19151,132,5713,0,0,0
0,"0",24,2,50002,37695,149,12154,0,0,0
0,"0",25,-1,25081,14433,0,10486,0,0,0
0,"0",25,2,50150,28442,14,21394,0,0,0
0,"0",26,-1,25009,21625,3357,9,0,0,0
0,"0",26,2,50019,41854,8121,6,0,0,0
0,"0",27,-1,25001,10259,24,14716,0,0,0
0,"0",27,2,50001,19444,119,30436,0,0,0
0,"0",28,-1,25002,19614,957,4427,0,0,0
0,"0",28,2,50003,41567,1813,6617,0,0,0
0,"0",29,-1,25006,18052,22,6920,0,0,0
0,"0",29,2,50002,0,0,0,46617,2830,551
0,"0",30,-1,25001,6840,18159,0,0,0,0
0,"0",30,2,50002,12846,37151,1,0,0,0
0,"0",31,-1,25002,23424,1534,40,0,0,0
0,"0",31,2,50002,45860,3917,221,0,0,0
