"Method","Delta","Tot_temps","iterations","1","2","3","4","5","6"
"IIT",0,5,-1,0,5,95,0,0,0
"M1",1,5,-1,14,43,41,2,0,0
"M2",1,5,-1,7,35,55,2,1,0
"M3",1,5,-1,0,15,80,1,3,1
"M1",1,10,-1,2,28,54,12,4,0
"M2",1,5,1,7,35,55,2,1,0
"M3",1,5,1,0,15,80,1,3,1
"M1",1,10,1,2,28,54,12,4,0
"M2",1,10,1,0,3,27,18,31,21
"M3",1,10,1,0,0,19,17,33,31
"M1",2,5,1,0,31,38,25,3,3
"M2",2,5,1,0,3,46,19,18,14
"M3",2,5,1,0,3,29,17,29,22
"M1",2,10,1,59,26,2,0,0,0
"M2",2,10,1,9,27,42,15,4,0
"M3",2,10,1,7,28,34,17,8,1
"IIT",0,5,2,0,1,99,0,0,0
"M1",1,5,2,0,25,68,4,3,0
"M2",1,5,2,2,12,79,3,3,1
"M3",1,5,2,0,2,87,1,3,7
"M1",1,10,2,0,10,21,41,22,6
"M2",1,10,2,0,0,9,6,22,63
"M3",1,10,2,0,0,6,4,27,63
"M1",2,5,2,0,7,23,32,32,6
"M2",2,5,2,0,1,15,13,26,45
"M3",2,5,2,0,0,14,4,23,59
