"iter_conv","calls_for_pi","last_F_value"
2527,35461,0.0997196047987283
7444,93771,0.0973568519736173
2820,37750,0.0997734875149581
6910,85253,0.0989565194753936
2842,36774,0.0981939768002864
9969,130727,0.0984620289115038
2889,38318,0.099989871040288
4417,58808,0.0952276592234949
3081,45496,0.0944861076467887
5733,74595,0.0999987283837052
4219,66095,0.0921793543531598
2603,32543,0.0984181421566034
3128,47040,0.0994787185968539
15716,204837,0.0988943453867149
2727,35162,0.0997150780495623
6340,89673,0.0939882541731655
3078,41501,0.0951863904836186
4431,51337,0.0995833772454184
4108,59996,0.096553679000079
2763,39190,0.0984367128854009
3060,39986,0.0991695604238366
2411,42331,0.0967609274301752
2903,47813,0.0963541105962384
2699,38627,0.0969757231812484
3383,45798,0.0982316941444359
4796,62680,0.0952133970868587
3758,48169,0.095242694835254
7905,111697,0.0932286243329292
4501,62385,0.0931702911927082
2672,34109,0.0896950555774064
2734,35169,0.0983576976128666
2684,37115,0.0928566772235831
1949,28396,0.098580154086051
2061,25514,0.099234687397416
4674,60562,0.0952789896244891
4941,61827,0.0985735399532731
3255,43674,0.0941230758525614
3252,39180,0.0953889252658627
1587,21048,0.0997565113710294
4849,65727,0.0949838325107032
2655,36587,0.0955194929901923
2949,37879,0.0985823692278361
2018,29463,0.0966949528905285
3572,44989,0.093638855822958
4559,53461,0.0980965754059202
2274,29220,0.0990904043134818
2219,26670,0.0942886060347196
3427,46341,0.0980881844144122
2436,32376,0.0999063448932408
4557,66433,0.0957835544311255
