"iter_conv","calls_for_pi","last_F_value"
57013,57013,0.099996927465358
40503,40503,0.0999998110112569
34058,34058,0.0999998878534113
38751,38751,0.0999978881206128
27020,27020,0.0999996966131096
21863,21863,0.0999985959020136
54435,54435,0.0999997184850522
50441,50441,0.0999990112116759
34975,34975,0.0999971569964119
51132,51132,0.0999885143007198
35467,35467,0.0999988099809203
25607,25607,0.099996702523654
91347,91347,0.099999289899636
27093,27093,0.0999961749716382
34795,34795,0.0999975267717558
51295,51295,0.0999982624026974
40754,40754,0.0999994354037562
55256,55256,0.0999961815071013
36046,36046,0.0999985096156672
69550,69550,0.0999970318722847
31608,31608,0.0999978144775768
38455,38455,0.0999969754728818
50348,50348,0.0999988184313634
38221,38221,0.0999975442354828
76831,76831,0.0999997755817949
29215,29215,0.0999985551960815
116404,116404,0.0999981804453798
19606,19606,0.0999970840803369
27671,27671,0.0999995843790278
179214,179214,0.099999427707142
95552,95552,0.0999986937133326
27300,27300,0.099998937441366
36693,36693,0.099999260885398
97691,97691,0.0999999610453525
27845,27845,0.099998346220372
106414,106414,0.0999980733399803
39847,39847,0.099999615215056
27228,27228,0.0999964759117898
28989,28989,0.0999972590339844
58121,58121,0.0999990098472712
75486,75486,0.0999976017714779
290224,290224,0.0999994310702032
39532,39532,0.0999978698578809
40870,40870,0.0999988734494934
60309,60309,0.0999964353755871
77407,77407,0.0999977848920468
53522,53522,0.099998292164714
26803,26803,0.0999982819056186
47469,47469,0.0999997579591181
27459,27459,0.0999986025649477
