"iter_conv","calls_for_pi","last_F_value"
698,69800,0.0990114449581364
523,52300,0.0995207363464772
152,15200,0.0999672306122977
242,24200,0.0848834971540637
288,28800,0.0938461175595527
145,14500,0.0971656820137967
549,54900,0.0991220969643265
808,80800,0.0994246921866663
1353,135300,0.0996231012138904
389,38900,0.099461116373944
456,45600,0.0983597128956821
308,30800,0.0920315771179858
112,11200,0.0668934029245606
1027,102700,0.0997381327832524
317,31700,0.0987821383693719
425,42500,0.0995543567143839
288,28800,0.0977311895889725
250,25000,0.0920095860799763
353,35300,0.0985401205630045
67,6700,0.0933540533268248
413,41300,0.0989897131010596
205,20500,0.0970642495496021
387,38700,0.0990025380832163
279,27900,0.0997900585274075
226,22600,0.0935880690106197
356,35600,0.0909874855024227
892,89200,0.0997668206208668
851,85100,0.0993084056976767
671,67100,0.0996709104558387
1125,112500,0.099680371306686
323,32300,0.0998821799746138
363,36300,0.0992277181809242
464,46400,0.0940532172668847
423,42300,0.0995607996289927
591,59100,0.0988915141436436
344,34400,0.09093717964599
223,22300,0.0977477696174032
1625,162500,0.0996751770718005
307,30700,0.0980525694332852
780,78000,0.0959230372157015
95,9500,0.0954811869336767
345,34500,0.0998787510007727
1186,118600,0.0993087230176613
267,26700,0.0987771532527343
35,3500,0.0663772855154273
351,35100,0.0996462230267016
506,50600,0.0957519794490053
133,13300,0.0983001434832943
511,51100,0.0993047941235726
195,19500,0.0999557404396011
