"iter_conv","calls_for_pi","last_F_value"
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.99719402865623
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.94397187083924
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.94397187083924
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.94397187083924
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.94397187083924
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.94397187083924
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.94397187083924
5e+05,2.5e+08,1.94397187083924
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.55610210577192
5e+05,2.5e+08,1.41854384120508
5e+05,2.5e+08,1.55610210577192
