"iter_conv","calls_for_pi","last_F_value"
3447,42868,0.196021301634339
2850,43768,0.198854291633671
2624,31067,0.18310916172981
3057,43476,0.184820423683123
2438,38366,0.199221446028323
2828,39754,0.183407905002401
2781,38210,0.193867622464208
3421,43840,0.195198815391424
2746,40171,0.193723825721212
2716,40640,0.198212150068748
3177,41101,0.188210714679591
2766,39193,0.189063299072903
4033,59422,0.192951836656263
3174,42096,0.187740579520444
2245,34181,0.188056027113558
3330,43250,0.198523675907283
3253,41177,0.187461730113117
2883,35817,0.191650805963552
3641,42563,0.174897715621693
2778,35712,0.188688772378417
2970,42890,0.189747927553375
2484,33921,0.189951505326439
2420,35354,0.189649529103342
2112,35545,0.187256911957986
2637,38565,0.190375796833524
2384,40308,0.187849321627374
2649,36581,0.193080594597927
2389,40313,0.18373204605351
2458,36390,0.197057243665407
2347,45261,0.199019542916066
2666,33604,0.184491438320936
2440,36372,0.185216078906831
2489,27439,0.193063828614806
4172,59062,0.19360827160944
4448,62332,0.192253330298139
3212,50617,0.191781800951292
2656,40580,0.189701519967788
2332,30276,0.189729028337038
3278,39206,0.188601565114728
3432,42853,0.194953133058145
3136,34573,0.188267478751274
2510,43428,0.187449266140788
3744,52646,0.191650815469009
3608,47520,0.199260811130609
2504,34440,0.180817127522326
2768,33207,0.181005714353184
3311,43730,0.190985810903665
2699,38627,0.19271071463658
2237,37167,0.198415576526648
3023,41446,0.195586835985244
