"iter_conv","calls_for_pi","last_F_value"
31763,31763,0.199995164874283
42973,42973,0.199998357610759
30591,30591,0.199995210157522
35905,35905,0.199988828160248
120943,120943,0.199999788259599
61623,61623,0.199996240096507
27711,27711,0.199992874445383
47854,47854,0.199989386031692
35574,35574,0.199999740373093
36646,36646,0.199990626866787
69958,69958,0.199996123650796
31535,31535,0.199993161151676
44949,44949,0.199997334001884
69584,69584,0.199997186930422
31918,31918,0.199985309074735
98811,98811,0.19999868336497
31076,31076,0.199986356355182
29259,29259,0.199998120603793
38263,38263,0.19999490320265
25247,25247,0.199999255055491
24910,24910,0.199993708888156
26282,26282,0.199994268773323
32557,32557,0.199998700288409
35507,35507,0.199999393104394
41720,41720,0.199997311222493
38831,38831,0.19999366381451
74200,74200,0.199997930664924
56755,56755,0.199996446534787
37750,37750,0.199982815458924
34843,34843,0.199999504919495
25486,25486,0.199994250743095
30402,30402,0.199997126229727
65609,65609,0.1999998636224
36236,36236,0.199998179081718
34216,34216,0.199996576353889
43951,43951,0.199996663329355
39551,39551,0.199999257809267
27055,27055,0.199996379748865
51478,51478,0.199994008857697
40021,40021,0.199993306630514
41649,41649,0.19999675182903
29227,29227,0.199984315085537
37081,37081,0.199994242094695
37651,37651,0.199987882795492
28975,28975,0.199994912222463
46316,46316,0.199992541637887
44953,44953,0.19999660253323
107274,107274,0.19999910280482
39196,39196,0.199992030398408
41898,41898,0.199990095154582
