"iter_conv","calls_for_pi","last_F_value"
5304,1055496,0.199986261262223
5582,1110818,0.199990314367631
5409,1076391,0.199980421844163
5300,1054700,0.199960661588609
5493,1093107,0.199986995644347
6196,1233004,0.199961988340531
5245,1043755,0.199963399584003
5344,1063456,0.199976100588096
5888,1171712,0.199929080319207
5155,1025845,0.199997590205841
5564,1107236,0.199991314584746
5493,1093107,0.199975964323214
5225,1039775,0.199968508117535
5354,1065446,0.199973584141721
5289,1052511,0.199981260764443
5129,1020671,0.199982440388748
6057,1205343,0.199949268961885
5119,1018681,0.199982516563696
5389,1072411,0.199980559069664
5969,1187831,0.19993562658069
5403,1075197,0.199998404675091
5209,1036591,0.199981841518241
5627,1119773,0.199960013308944
5354,1065446,0.199973584141721
5070,1008930,0.199956632190414
5695,1133305,0.199941963473767
5185,1031815,0.199978843414882
5294,1053506,0.199988825421768
5315,1057685,0.19999686024753
5149,1024651,0.1999822889265
5608,1115992,0.199985242034184
5956,1185244,0.199985751239761
5289,1052511,0.199981260764443
5564,1107236,0.199991314584746
6269,1247531,0.199991932726151
5577,1109823,0.199935414564672
5877,1169523,0.199986759106589
5600,1114400,0.199973341903222
5609,1116191,0.19996888478074
5195,1033805,0.199976244669519
5253,1045347,0.199987619458904
5209,1036591,0.199981841518241
5539,1102261,0.199979554033461
5458,1086142,0.199964181038436
5175,1029825,0.199981452203705
5597,1113803,0.199977651822595
5473,1089127,0.199980887287308
5537,1101863,0.199994352676708
5427,1079973,0.199984326286229
5329,1060471,0.199969734552059
