"iter_conv","calls_for_pi","last_F_value"
1656,165600,0.199089081963911
1224,122400,0.197904814007412
888,88800,0.198164488768226
830,83000,0.196027218394634
893,89300,0.19648731824214
739,73900,0.198268748053669
922,92200,0.198688075853844
1037,103700,0.199727143437298
761,76100,0.199732846945573
925,92500,0.199890231020118
950,95000,0.198038902255025
922,92200,0.196502752430677
994,99400,0.199841150032835
935,93500,0.198148612918068
746,74600,0.196554114178808
1063,106300,0.199124027588345
1079,107900,0.199743183065628
716,71600,0.198422000451738
796,79600,0.199302974275478
2128,212800,0.199107015419889
705,70500,0.196916814144788
1015,101500,0.199135867257436
900,90000,0.199944825844001
742,74200,0.196561688756636
942,94200,0.196456004304017
1316,131600,0.199762832902917
835,83500,0.199583986318185
1741,174100,0.199434120801548
671,67100,0.197970042820621
910,91000,0.199699596935967
1655,165500,0.199810810759189
1161,116100,0.198663490078785
852,85200,0.197910543328042
1634,163400,0.198745489726374
1147,114700,0.1998131613111
776,77600,0.198534640180742
796,79600,0.198616324135014
714,71400,0.197225391956663
700,70000,0.19963495277701
823,82300,0.199645724892303
875,87500,0.199795492069191
1045,104500,0.198909620431245
885,88500,0.199713170996006
1865,186500,0.19990215123445
901,90100,0.193429424737689
1196,119600,0.197974878537003
932,93200,0.19990595521468
966,96600,0.199502092182922
861,86100,0.199270229524769
856,85600,0.199922297399959
