"iter_conv","calls_for_pi","last_F_value"
139,27800,0.459318799984456
351,70200,0.493106401708402
61,12200,0.379486785017713
387,77400,0.464436593823803
77,15400,0.464401021234218
179,35800,0.447917438570646
1333,266600,0.495882746643486
406,81200,0.499942556865092
1329,265800,0.495942735840695
83,16600,0.498564146968045
665,133000,0.494527031325208
141,28200,0.465021533217434
33,6600,0.297555458437302
60,12000,0.4974697902671
561,112200,0.495647269994983
83,16600,0.465970564536162
33,6600,0.205160878953223
155,31000,0.493607601990028
522,104400,0.499203666324579
1689,337800,0.498921662264281
516,103200,0.498579973646578
359,71800,0.492295522882366
755,151000,0.497703627661658
346,69200,0.496800835973982
115,23000,0.494993457963229
169,33800,0.471509306294968
562,112400,0.497620058935578
415,83000,0.495930762180268
377,75400,0.497366890357575
3105,621000,0.499499603272417
359,71800,0.489232585051912
629,125800,0.496889722763544
147,29400,0.469667895220807
1035,207000,0.499402495209344
36,7200,0.499203047685283
1529,305800,0.498712203197086
2421,484200,0.498992875020429
5361,1072200,0.499933005071354
249,49800,0.498073777523533
2025,405000,0.499842920466011
1430,286000,0.499411480590364
253,50600,0.480438284674161
649,129800,0.496988934658309
505,101000,0.496300948356937
359,71800,0.497722407035775
295,59000,0.492095470429384
75,15000,0.451163086951204
119,23800,0.487521868127733
203,40600,0.483390691168791
1083,216600,0.496523292585397
