"iter_conv","calls_for_pi","last_F_value"
647,129400,0.497526831061235
2427,485400,0.499087975841485
75,15000,0.446852462492072
205,41000,0.47438141836726
257,51400,0.495428005888294
337,67400,0.496984706734601
497,99400,0.49794342975513
1627,325400,0.494256264334146
2127,425400,0.499439767798434
466,93200,0.499607280617124
2743,548600,0.498868544035021
169,33800,0.493696745932478
491,98200,0.499934443207151
293,58600,0.499456836469626
733,146600,0.499632040106705
137,27400,0.471583190759641
1191,238200,0.496099100577328
671,134200,0.490974155747547
537,107400,0.499418574834495
4393,878600,0.499779324086247
361,72200,0.494419461962422
777,155400,0.491102493534138
759,151800,0.496078079594685
165,33000,0.484584722526637
239,47800,0.491265527047387
987,197400,0.499194714087419
755,151000,0.497893331772439
249,49800,0.480558552352685
253,50600,0.4950245772744
701,140200,0.493022497153513
2057,411400,0.499791969096367
541,108200,0.49978424981759
257,51400,0.491914966089151
133,26600,0.481820887684523
55,11000,0.443082918445901
129,25800,0.48125202453062
1537,307400,0.498831954651905
113,22600,0.472435026199578
157,31400,0.475843254599373
145,29000,0.49239941808037
55,11000,0.330259520693808
3655,731000,0.499738379702576
601,120200,0.498936752547744
339,67800,0.499387057325405
439,87800,0.493850104868756
847,169400,0.4956264128276
81,16200,0.495879947997967
1953,390600,0.499404786118223
171,34200,0.47626838910065
137,27400,0.497322172506622
