"iter_conv","calls_for_pi","last_F_value"
67473,5330367,0.499987395695069
21223,1676617,0.499930069022682
119345,9428255,0.499992099768686
92820,7332780,0.499988193735082
28252,2231908,0.499960654627414
25567,2019793,0.499980274655218
54142,4277218,0.499999224858422
5785,457015,0.499851584024243
54300,4289700,0.499986148075872
166987,13191973,0.499992247869345
27559,2177161,0.499964725428449
114033,9008607,0.499997542470622
7761,613119,0.499956109299778
41378,3268862,0.499969148859278
66658,5265982,0.499979957456624
10518,830922,0.499961533371521
205161,16207719,0.499993716684603
63663,5029377,0.499984258087708
1644,129876,0.499765153600734
14382,1136178,0.499899101906316
120927,9553233,0.49999454041908
5179,409141,0.49976499567818
54216,4283064,0.499991817122563
10478,827762,0.499860591661667
19504,1540816,0.499970239736911
25259,1995461,0.499982897771128
8572,677188,0.499998471379549
17788,1405252,0.499990024300082
59336,4687544,0.499977107897319
14056,1110424,0.499912654795933
18295,1445305,0.499956462701581
59421,4694259,0.499975516940294
308,24332,0.499765153600734
8317,657043,0.499825271431682
29675,2344325,0.499960322305258
16510,1304290,0.499946861656457
10301,813779,0.499906985861941
19631,1550849,0.499931499593412
76294,6027226,0.499999153070827
43365,3425835,0.499981567877438
25809,2038911,0.499959691587332
12056,952424,0.499914973696212
1036,81844,0.499091724013282
5389,425731,0.499857935192866
24175,1909825,0.49999266135668
31236,2467644,0.499957239655286
90844,7176676,0.499995558908289
12245,967355,0.499960927748121
44549,3519371,0.499988615980277
83874,6626046,0.499983561468863
